一
七
万
三
上
下
中
九
二
五
人
今
休
会
何
先
入
八
六
円
出
分
前
北
十
千
午
半
南
友
口
古
右
名
四
国
土
外
多
大
天
女
子
学
安
小
少
山
川
左
年
店
後
手
新
日
時
書
月
木
本
来
東
校
母
毎
気
水
火
父
生
男
白
百
目
社
空
立
耳
聞
花
行
西
見
言
話
語
読
買
足
車
週
道
金
長
間
雨
電
食
飲
駅
高
魚
