政
議
連
対
部
内
相
定
選
米
実
関
決
全
表
戦
経
最
現
調
化
当
約
法
性
要
制
治
務
成
期
取
和
機
平
加
受
続
数
記
初
指
権
支
点
報
済
活
原
共
得
解
交
資
予
向
際
勝
面
告
反
判
認
参
利
組
信
在
件
側
任
求
次
昨
論
官
増
係
感
情
投
示
変
打
直
両
式
確
果
容
必
演
歳
争
談
能
位
置
流
格
疑
過
局
放
常
状
球
職
与
供
役
構
割
費
付
由
難
優
夫
収
断
石
違
消
神
番
規
術
備
宅
害
配
警
育
席
訪
残
想
念
助
労
例
然
限
追
商
葉
伝
形
景
落
退
負
渡
失
差
末
守
若
種
美
命
福
望
非
観
察
段
横
深
申
様
財
港
識
呼
達
良
候
程
満
敗
値
突
路
科
積
他
処
客
否
師
登
易
速
存
飛
殺
号
単
座
破
除
完
降
責
捕
危
給
苦
迎
園
具
辞
因
馬
愛
富
彼
未
舞
亡
冷
適
婦
寄
込
類
余
王
返
妻
背
熱
宿
険
頼
覚
船
途
許
抜
留
罪
努
精
散
静
婚
喜
浮
絶
幸
押
倒
等
老
曲
払
庭
徒
勤
遅
居
雑
招
困
欠
更
刻
賛
抱
犯
恐
息
戻
願
絵
越
欲
痛
笑
互
束
似
列
探
逃
遊
迷
夢
君
閉
緒
折
草
暮
酒
悲
晴
掛
到
寝
盗
吸
陽
御
歯
忘
雪
吹
娘
誤
慣
礼
窓
昔
貧
怒
泳
祖
杯
疲
皆
鳴
腹
煙
眠
怖
頂
箱
晩
髪
忙
才
靴
恥
偶
偉
猫
幾
